id,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,popularity,track_type
3rCtueI7qBN2kZBZnXuk5K,0.713,0.725,-9.951,0.0385,0.539,0.886,0.111,0.24,122.041,369462,65,chill
2lJ4d8MCT6ZlDRHKJ1br14,0.64,0.844,-8.412,0.0374,0.395,0.933,0.0827,0.364,119.042,352247,61,chill
2pYvd6cHcAIMAM6xMD6nok,0.648,0.458,-15.169,0.0311,0.864,0.0944,0.366,0.0848,119.96,274693,60,chill
16ikmfoT1249gG3pzPvnYt,0.378,0.178,-15.348,0.0303,0.958,0.802,0.11,0.0591,77.263,223720,57,chill
5DAjrJqXqYtgr67pVhmUeR,0.529,0.739,-9.578,0.0718,0.0237,0.607,0.171,0.138,124.75,237547,61,chill
7Cg3F9ZsZ2TYUnlza49NYh,0.542,0.749,-8.333,0.0277,0.173,0.942,0.315,0.674,94.031,237827,58,chill
5EGJ7e7frJjYja6H4afzoT,0.723,0.571,-10.22,0.0572,0.21,0.334,0.133,0.185,115.518,302428,58,chill
0E7S1k9M1KshLISVC2EP1M,0.738,0.512,-12.924,0.0668,0.257,0.879,0.0824,0.0867,123.01,350055,59,chill
7sqii6BhIDpJChYpU3WjwS,0.595,0.788,-10.128,0.363,0.195,0.202,0.153,0.414,97.012,230307,54,chill
6wLDbkpdZEElEdKo9Wt010,0.728,0.71,-9.903,0.0535,0.0524,0.905,0.036,0.158,118.002,366989,56,chill
