id,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,popularity,track_type
4g72i37zDt6O7GWaq4bSlY,0.728,0.755,-8.536,0.0373,0.000451,0.242,0.129,0.213,145.02,453517,30,psy
0VCB3fiBkzu9mkOM5ggzCC,0.659,0.847,-6.175,0.0973,0.000217,0.458,0.104,0.337,145.036,523035,23,psy
56g9Tk8Jt6KNfcnvfMyZA5,0.648,0.602,-9.565,0.045,0.0014,0.755,0.0998,0.154,145.01,458483,18,psy
0xa1zN8iuQp4hr4gGTAc8i,0.728,0.839,-11.479,0.104,0.00393,0.788,0.113,0.118,144.986,394345,13,psy
6nSh5PiQiPJoLLuTResyy3,0.655,0.863,-8.949,0.0919,0.000537,0.754,0.157,0.601,144.971,446897,19,psy
17lZq8OoMOSEImRdafIg33,0.594,0.792,-6.686,0.0451,0.016,0.805,0.0945,0.101,145.016,384092,16,psy
48n9OUfIIDyu77ruSzHcgp,0.627,0.931,-8.652,0.0454,4.93e-05,0.817,0.635,0.701,145.01,486621,6,psy
27yXbkjykK4NlfSsRbV8Mt,0.62,0.97,-6.935,0.0659,0.000299,0.8,0.283,0.688,141.988,517183,9,psy
6mUtNxACmEgBtxk4m4CFT1,0.674,0.96,-7.197,0.05,0.000205,0.74,0.0931,0.0885,145.008,440276,7,psy
1f5gQ4WjvjgWokPjtAFPtg,0.704,0.912,-9.436,0.0529,0.0119,0.853,0.0532,0.444,145.004,364138,10,psy
