id,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,popularity,track_type
1pT8xIukhRvFJJZNCSbChL,0.82,0.541,-8.603,0.0502,0.283,0.874,0.101,0.239,124.013,445000,18,chill glitch
7r5kNKIVjZoak8RVdnq5an,0.708,0.609,-8.494,0.233,0.0337,0.738,0.0745,0.344,185.972,430000,15,chill glitch
0fjhXPjlLOJPcbYIzSw4Zl,0.574,0.621,-10.323,0.0556,0.0137,0.827,0.855,0.382,180.044,416000,15,chill glitch
4mslBDDvZbWSW6PRCfZqXV,0.59,0.757,-8.28,0.08,0.104,0.698,0.184,0.295,159.962,486000,14,chill glitch
3wCCCf7kHM9EaEj3NEPECV,0.71,0.415,-10.029,0.202,0.106,0.756,0.202,0.433,172.002,390698,13,chill glitch
6CoDK9CeA2ohpPNE5jCk6Y,0.796,0.607,-8.798,0.063,0.222,0.838,0.0901,0.442,115.502,398961,13,chill glitch
7kGErpXASxvZQTk5m1FfZ7,0.654,0.58,-8.561,0.0743,0.163,0.71,0.0772,0.361,159.968,408000,12,chill glitch
66HlVZYHJgGw1C61kbkLFW,0.732,0.68,-8.482,0.085,0.0306,0.822,0.101,0.182,90.012,462000,13,chill glitch
6veoMkqzEwhzV9VHkMZ1jf,0.325,0.637,-9.472,0.0496,0.016,0.536,0.0902,0.0628,81.562,430244,11,chill glitch
1LjBdXAAoJdxflnJKTZiab,0.836,0.562,-9.202,0.128,0.138,0.636,0.375,0.374,100.015,440000,11,chill glitch
