id,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,popularity,track_type
57CmGnGJp0yBZBuUPm5qzR,0.74,0.49,-11.761,0.0498,0.0558,0.774,0.236,0.341,99.992,319200,4,chill glitch
4aPdxg7coOhK1sIOdFoEvz,0.686,0.571,-14.088,0.0557,0.0255,0.754,0.645,0.354,154.007,370909,5,chill glitch
0lKTTBumjYNy3Ympwum22k,0.735,0.706,-10.339,0.043,0.206,0.861,0.0958,0.118,99.997,403200,3,chill glitch
2TSnuGizgE7r9kVIAWEcRX,0.751,0.618,-13.605,0.0588,0.226,0.877,0.199,0.386,99.955,292800,3,chill glitch
7DNfdaGjoVx1XsG8ayLK3k,0.704,0.57,-12.357,0.0541,0.223,0.873,0.0933,0.174,99.983,460800,3,chill glitch
1iABfQS7143I480wUwnzuH,0.754,0.54,-11.831,0.0468,0.126,0.705,0.121,0.185,130.016,302769,2,chill glitch
3yIRo8eyRwq7o8rcGpiw5D,0.807,0.515,-11.72,0.0517,0.215,0.857,0.16,0.158,115.019,319304,5,chill glitch
50c5dflO4S9S1OwYlovVdG,0.678,0.417,-12.824,0.0797,0.0344,0.842,0.114,0.207,180.028,346000,4,chill glitch
0tejXZ3pnzPJlvNQe2Uzi1,0.788,0.609,-12.519,0.0462,0.0193,0.874,0.0796,0.0455,118.013,292881,4,chill glitch
6clWHhtijogwoBRxhw3VWR,0.604,0.573,-11.323,0.042,0.0977,0.763,0.0909,0.145,168.05,342857,4,chill glitch
